nome	idomas	periodoTrabalho	salarioReal	areaAtuacao	modeloContratacao	medio_g1	tecnico_g1	superior_g1	concluido	pos_g1	curriculo	valeAlimentacao	valeRefeicao	tempoExperienciaAnos	cidade	bairro	gestor_g1	numVagas
15	0	8	1000.0	1	1	-1	-1	-1	-1	-1	1	0.0	0.0	4.0	3	0	8	1
16	0	6	0.0	0	0	0	0	1	0	0	0	-1.0	-1.0	-1.0	0	0	8	1
17	0	4	1300.0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	7	0	8	1
18	0	8	0.0	0	3	0	0	1	1	0	0	0.0	0.0	1.0	3	1	18	1
19	0	8	1400.0	0	1	1	0	0	0	0	1	0.0	484.0	1.0	3	10	19	1
20	0	8	0.0	0	1	1	0	0	0	0	1	-1.0	-1.0	5.0	8	11	20	1
21	0	8	1000.0	0	1	1	0	0	0	0	1	0.0	360.0	-1.0	3	10	21	1
22	0	8	0.0	0	4	1	0	0	0	0	1	-1.0	-1.0	2.0	8	11	20	2
23	0	8	0.0	1	1	0	0	0	0	0	0	-1.0	-1.0	-1.0	9	0	22	1
24	0	0	50000.0	1	2	1	0	0	0	0	0	0.0	0.0	-1.0	3	12	23	1
25	0	8	5000.0	0	1	0	0	1	1	0	1	203.0	0.0	-1.0	3	13	24	1
